country,year_month,protest_count,protest_any,violence_count,violence_any,fatalities,protest_days,violence_any_t1,violence_count_t1,escalation,protest_count_t_1,protest_growth,recent_violence,year,protest_count_dm,protest_growth_dm,recent_violence_dm,protest_count_t_2,protest_acceleration,democracy_index,inflation,gdp_growth,unemployment,inflation_lag1,gdp_growth_lag1,unemployment_lag1,gini,escalation_transition,escalation_spike,gdp_growth_lag1_missing,inflation_lag1_missing,unemployment_lag1_missing,democracy_index_dm,protest_acceleration_dm,gdp_growth_lag1_dm,inflation_lag1_dm,unemployment_lag1_dm,risk,actual,risk_bin
Chile,2024-03,120,1,23,1,0,29,1.0,38.0,1,34.0,86.0,1,2024,14.137931034482762,85.51724137931035,0.0,66.0,118.0,7.83,4.29763891572524,2.64431154871538,8.718,4.29763891572524,2.64431154871538,8.718,,0,1,0,0,0,-0.2682758620689647,120.53448275862068,0.2778630626468135,-0.46783642259317304,-0.024896551724138405,0.5162677080902378,1,"(0.509, 0.525]"
Chile,2024-04,112,1,38,1,2,26,1.0,26.0,1,120.0,-8.0,1,2024,6.137931034482762,-8.482758620689655,0.0,34.0,-94.0,7.83,4.29763891572524,2.64431154871538,8.718,4.29763891572524,2.64431154871538,8.718,,0,0,0,0,0,-0.2682758620689647,-91.46551724137932,0.2778630626468135,-0.46783642259317304,-0.024896551724138405,0.4990793415967526,0,"(0.492, 0.509]"
Chile,2024-05,133,1,26,1,3,27,1.0,16.0,1,112.0,21.0,1,2024,27.13793103448276,20.517241379310345,0.0,120.0,29.0,7.83,4.29763891572524,2.64431154871538,8.718,4.29763891572524,2.64431154871538,8.718,,0,0,0,0,0,-0.2682758620689647,31.53448275862069,0.2778630626468135,-0.46783642259317304,-0.024896551724138405,0.4841780263494702,0,"(0.478, 0.492]"
Chile,2024-06,78,1,16,1,3,19,1.0,32.0,1,133.0,-55.0,1,2024,-27.86206896551724,-55.48275862068966,0.0,112.0,-76.0,7.83,4.29763891572524,2.64431154871538,8.718,4.29763891572524,2.64431154871538,8.718,,0,1,0,0,0,-0.2682758620689647,-73.46551724137932,0.2778630626468135,-0.46783642259317304,-0.024896551724138405,0.5175449040264164,1,"(0.509, 0.525]"
Chile,2024-07,123,1,32,1,1,27,1.0,59.0,1,78.0,45.0,1,2024,17.13793103448276,44.51724137931034,0.0,133.0,100.0,7.83,4.29763891572524,2.64431154871538,8.718,4.29763891572524,2.64431154871538,8.718,,0,1,0,0,0,-0.2682758620689647,102.53448275862068,0.2778630626468135,-0.46783642259317304,-0.024896551724138405,0.5002846098679409,1,"(0.492, 0.509]"
Chile,2024-08,186,1,59,1,5,28,1.0,32.0,1,123.0,63.0,1,2024,80.13793103448276,62.51724137931034,0.0,78.0,18.0,7.83,4.29763891572524,2.64431154871538,8.718,4.29763891572524,2.64431154871538,8.718,,0,0,0,0,0,-0.2682758620689647,20.53448275862069,0.2778630626468135,-0.46783642259317304,-0.024896551724138405,0.4449186791360558,0,"(0.416, 0.478]"
Chile,2024-09,95,1,32,1,4,22,1.0,27.0,1,186.0,-91.0,1,2024,-10.862068965517238,-91.48275862068965,0.0,123.0,-154.0,7.83,4.29763891572524,2.64431154871538,8.718,4.29763891572524,2.64431154871538,8.718,,0,0,0,0,0,-0.2682758620689647,-151.4655172413793,0.2778630626468135,-0.46783642259317304,-0.024896551724138405,0.4906247492519483,0,"(0.478, 0.492]"
Chile,2024-10,112,1,27,1,1,28,1.0,26.0,1,95.0,17.0,1,2024,6.137931034482762,16.517241379310345,0.0,186.0,108.0,7.83,4.29763891572524,2.64431154871538,8.718,4.29763891572524,2.64431154871538,8.718,,0,0,0,0,0,-0.2682758620689647,110.53448275862068,0.2778630626468135,-0.46783642259317304,-0.024896551724138405,0.5020144267791526,0,"(0.492, 0.509]"
Chile,2024-11,99,1,26,1,2,22,1.0,15.0,1,112.0,-13.0,1,2024,-6.862068965517238,-13.482758620689655,0.0,95.0,-30.0,7.83,4.29763891572524,2.64431154871538,8.718,4.29763891572524,2.64431154871538,8.718,,0,0,0,0,0,-0.2682758620689647,-27.46551724137931,0.2778630626468135,-0.46783642259317304,-0.024896551724138405,0.5089042075336692,0,"(0.492, 0.509]"
Chile,2024-12,53,1,15,1,2,19,1.0,10.0,1,99.0,-46.0,1,2024,-52.86206896551724,-46.48275862068966,0.0,112.0,-33.0,7.83,4.29763891572524,2.64431154871538,8.718,4.29763891572524,2.64431154871538,8.718,,0,0,0,0,0,-0.2682758620689647,-30.46551724137931,0.2778630626468135,-0.46783642259317304,-0.024896551724138405,0.5445084492459215,0,"(0.531, 0.546]"
